滚动的天空	Cheetah Games	1912732人安装	9.6	44.19MB	2018年1月12日	4550	音乐,虐心,反应力,单机,跑酷,手残,独立游戏,休闲,摔手机,速度,节奏,中文,3D,英文,街机,UP主推荐,刺激
							
钢琴块2 （别踩白块儿2 ）	Cheetah Games	1384764人安装	9.5	36.89MB	2017年10月20日	3204	手速,音乐,反应力,单机,有毒,钢琴,速度,魔性,街机,节奏,音游,竖屏
							
粉刷匠大作战	盛大游戏	218078人安装	8.6	62.06MB	2018年2月1日	1148	音乐,联机,像素,魔性,io,多人,节奏,对战
							
永不言弃！！	东品游戏	318702人安装	8.2	47.11MB	2018年2月12日	615	虐心,手残,有毒,单机,音乐,节奏,强迫症
							
节奏大师	腾讯	627774人安装	8	58.85MB	2017年5月28日	1386	音乐,节奏,音游,手速,休闲,手残,有毒,联机,虐心,腾讯,多人
							
双子	心动网络	185226人购买	9.7	242.76MB	2018年1月31日	11354	唯美,付费,双人,音乐,治愈,单机,独立游戏,感人,休闲,艺术,冒险,中文,爱情,恋爱,有毒,虐狗,浪漫,UP主推荐
							
Deemo（古树旋律）	龙渊网络	604296人安装	9.6	1.33GB	2018年1月31日	3081	音乐,音游,剧情,治愈,唯美,中文,催泪,联网
							
缪斯计划	Rinzz Co. Ltd.	185628人安装	8.5	194.89MB	2018年1月25日	1726	音乐,音游,电子音乐,单机,虐心,独立游戏,电音,街机,角色扮演,手速
							
长生劫-盗墓长生印	北派游戏工作室	763090人安装	9.7	95.82MB	2018年1月30日	20140	生存,单机,盗墓,解谜,独立游戏,RPG,冒险,UP主推荐,文字,策略,中文,角色扮演,重度,竖屏,联网
							
众生	边境游戏工作室	54408人预约	9.5	52.65MB	2017年12月26日	17927	真实模拟,养成,高自由度,生存,单机,人生,模拟,文字,独立游戏,手绘画风,黑白,有毒,中文,极简,自由,策略,独立,国产
							
魔女兵器	北京水琴铃信息技术有限公司	134529人安装 | 98920人预约	7	1.08GB	2018年2月14日	4209	二次元,ACG,美少女,角色扮演,策略,联网
							
炉石传说	Blizzard Entertainment, Inc.		9	85.10MB	2017年11月21日	9861	暴雪,策略,CCG,UP主推荐,联机,多人,中文,对战,联网,1v1,收集,网络工具,3D,回合
							
坦克世界闪击战	网易游戏	475236人安装	7.8	136.49MB	2018年2月6日	3110	战争,自由,联机,坦克,动作,策略,二战,中文,多人,射击,联网,组队
